,game_title,platform,year,genre,publisher,north_america,europe,japan,rest_of_world,global,review
1238,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.0,1.12,0.01,1.24,68.0
1239,WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0.42,0.0,0.13,1.24,84.0
1240,The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.02,0.0,0.0,1.24,75.9
1241,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,77.0
1242,Dead Rising 2,PS3,2010,Action,Capcom,0.37,0.52,0.15,0.2,1.24,79.81
1243,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0.0,0.04,1.24,79.0
1244,Dishonored,X360,2012,Shooter,Bethesda Softworks,0.74,0.37,0.01,0.12,1.24,89.09
1245,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.0,0.14,0.0,0.1,1.24,78.0
1246,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.44,0.63,0.02,0.14,1.24,80.0
1247,Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,44.0
1248,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,93.0
1249,Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,70.48
1250,Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0.0,0.16,1.23,58.67
1251,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,0.71,0.33,0.03,0.17,1.23,93.16
1252,Mystery Case Files: MillionHeir,DS,2008,Adventure,Nintendo,0.73,0.38,0.0,0.12,1.23,66.58
1253,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,76.0
1254,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.2899999999999999,0.17,0.75,0.02,1.23,80.0
1255,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0.0,0.02,1.23,69.0
1256,Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0.0,0.08,1.23,85.73
1257,Kung Fu Panda,DS,2008,Platform,Activision,0.54,0.55,0.0,0.13,1.23,64.0
1258,Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,87.0
1259,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,76.64
1260,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.42,0.54,0.06,0.21,1.23,84.75
1261,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.71,0.02,0.43,0.07,1.22,88.0
1262,Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.32,0.47,0.32,0.1,1.22,66.0
1263,Pokémon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.45,0.13,0.5799999999999998,0.06,1.22,87.0
1264,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.44,0.66,0.0,0.12,1.22,53.33
1265,Mario Power Tennis,GC,2004,Sports,Nintendo,0.5799999999999998,0.16,0.46,0.03,1.22,81.03
1266,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.76,0.22,0.11,0.13,1.22,85.5
1267,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,83.0
1268,Ratatouille,DS,2007,Platform,THQ,0.48,0.6,0.0,0.14,1.22,70.0
1269,NBA Live 99,PS,1997,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,81.0
1270,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,87.15
1271,SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,70.0
1272,Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,85.91
1273,WCW Mayhem,PS,1998,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,73.2
1274,NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,83.0
1275,NASCAR Thunder 2003,PS2,2002,Racing,Electronic Arts,0.6,0.46,0.0,0.16,1.22,81.0
1276,Sonic's Ultimate Genesis Collection,X360,2009,Misc,Sega,0.63,0.46,0.0,0.13,1.22,86.0
1277,Cars,PS2,2006,Racing,THQ,1.01,0.04,0.0,0.16,1.21,71.0
1278,Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,0.72,0.36,0.02,0.12,1.21,78.89
1279,Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,67.8
1280,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.46,0.51,0.03,0.21,1.21,84.74
1281,Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,73.43
1282,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.54,0.0,0.13,1.21,59.33
1283,Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,84.0
1284,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,76.0
1285,The Magical Quest starring Mickey Mouse (all region sales),SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,87.0
1286,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,80.7
1287,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,79.88
1288,Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83.0
1289,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.02,0.0,0.0,1.21,82.0
1290,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007,Misc,Majesco Entertainment,0.87,0.32,0.0,0.02,1.21,63.0
1291,Test Drive 4,PS,1997,Racing,Accolade,0.67,0.46,0.0,0.08,1.21,67.0
1292,Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,0.71,0.37,0.0,0.12,1.21,78.0
1293,Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.53,0.12,0.49,0.07,1.21,91.98
1294,Crysis 2,X360,2011,Shooter,Electronic Arts,0.62,0.45,0.02,0.12,1.21,85.5
1295,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,88.49
1296,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,61.57
1297,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,76.76
1298,Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,91.0
1299,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.1,0.01,0.0,0.09,1.2,65.29
1300,SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,76.0
1301,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0.0,0.02,1.2,91.53
1302,Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,70.0
1303,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.92,0.14,0.02,0.13,1.2,67.38
1304,Alan Wake,X360,2010,Action,Microsoft Game Studios,0.6,0.43,0.05,0.12,1.2,83.75
1305,NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,84.0
1306,FIFA 07 Soccer,PSP,2006,Sports,Electronic Arts,0.24,0.64,0.0,0.31,1.2,82.0
1307,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,74.0
1308,The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0.0,0.02,1.19,51.82
1309,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.02,0.0,0.09,1.19,66.76
1310,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0.0,0.04,1.19,66.0
1311,Scarface: The World is Yours,PS2,2006,Adventure,Vivendi Games,0.99,0.04,0.0,0.16,1.19,76.58
1312,Need for Speed: The Run,X360,2011,Racing,Electronic Arts,0.52,0.53,0.0,0.13,1.19,72.0
1313,Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.79,0.2899999999999999,0.0,0.11,1.19,73.0
1314,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,81.0
1315,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,70.0
1316,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,56.0
1317,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,79.0
1318,Hitman 2: Silent Assassin,XB,2002,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,84.63
1319,Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19,75.0
1320,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.2899999999999999,0.02,1.19,85.0
1321,Mega Man X,SNES,1993,Platform,Capcom,0.5,0.16,0.5,0.02,1.19,90.0
1322,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,84.0
1323,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.5,0.19,0.42,0.07,1.18,78.0
1324,EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.72,0.34,0.0,0.12,1.18,76.0
1325,Metroid: Other M,Wii,2010,Action,Nintendo,0.76,0.2,0.13,0.09,1.18,78.55
1326,Dragon Warrior VII,3DS,2000,Role-Playing,Square Enix,0.0,0.0,1.18,0.0,1.18,80.0
1327,Rage,PS3,2011,Shooter,Bethesda Softworks,0.42,0.5,0.06,0.2,1.18,81.0
1328,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,89.34
1329,Mario Tennis,GB,2000,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,86.0
1330,Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0.0,0.02,1.18,83.0
1331,Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,81.0
1332,Soviet Strike,PS,1996,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,72.0
1333,Gun,PS2,2005,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,79.15
1334,Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.64,0.36,0.05,0.12,1.17,80.94
1335,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,69.16
1336,[Prototype],PS3,2009,Action,Activision,0.62,0.38,0.0,0.18,1.17,79.65
1337,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.7,0.36,0.0,0.12,1.17,84.68
1338,Mission: Impossible,N64,1997,Action,Ocean,0.74,0.38,0.02,0.03,1.17,64.0
1339,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,82.0
1340,Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,69.0
1341,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.43,0.61,0.0,0.13,1.17,75.19
1342,Destruction Derby 2,PS,1996,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,76.0
1343,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.43,0.46,0.0,0.27,1.17,82.0
1344,Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,79.06999999999998
1345,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,85.57
1346,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,70.71
1347,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83.0
1348,Tomb Raider: Underworld,PS3,2008,Adventure,Eidos Interactive,0.42,0.49,0.05,0.2,1.16,78.0
1349,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.76,0.2899999999999999,0.0,0.11,1.16,47.0
1350,Deus Ex: Human Revolution,X360,2011,Shooter,Square Enix,0.62,0.4,0.02,0.12,1.16,89.57
1351,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,81.0
1352,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.72,0.01,0.36,0.07,1.16,77.43
1353,Sega Rally Championship,SAT,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16,81.77
1354,Jet Force Gemini,N64,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,87.0
1355,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0.0,0.05,1.16,73.0
1356,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16,55.0
1357,The Sims 3,Wii,2010,Simulation,Electronic Arts,0.42,0.6,0.0,0.13,1.16,56.0
1358,LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,0.83,0.28,0.0,0.05,1.16,84.0
1359,Football Manager 2011,PC,2010,Sports,Sega,0.0,0.92,0.0,0.23,1.16,84.0
1360,The Sims 3,X360,2010,Simulation,Electronic Arts,0.63,0.4,0.0,0.12,1.15,77.36
1361,Dragon Warrior Monsters 2: Cobi's Journey,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15,85.0
1362,Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0.0,0.15,1.15,52.65
1363,Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15,44.0
1364,Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,45.0
1365,Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15,57.0
1366,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,81.0
1367,Final Fantasy IV,DS,2007,Role-Playing,Square Enix,0.47,0.02,0.62,0.04,1.15,89.0
1368,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15,79.0
1369,Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0.0,0.15,1.15,67.0
1370,Asteroids,PS,1998,Shooter,Success,0.64,0.43,0.0,0.07,1.15,65.39
1371,Sonic & SEGA All-Stars Racing,Wii,2010,Racing,Sega,0.42,0.6,0.0,0.13,1.14,81.0
1372,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0.0,1.14,0.0,0.01,1.14,81.95
1373,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,53.93
1374,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,79.62
1375,Shadow of the Colossus,PS2,2005,Adventure,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,91.0
1376,Brave Fencer Musashi,PS,1998,Role-Playing,Square,0.25,0.17,0.65,0.07,1.14,79.67
1377,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Role-Playing,Square Enix,0.5799999999999998,0.16,0.34,0.06,1.14,84.0
1378,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,79.52
1379,Star Wars Battlefront II,PSP,2005,Shooter,LucasArts,1.02,0.02,0.01,0.09,1.14,80.0
1380,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14,74.0
1381,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,82.0
1382,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.5799999999999998,0.37,0.15,0.04,1.14,74.0
1383,Resident Evil - Code: Veronica,DC,2000,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14,93.63
1384,South Park,N64,1998,Shooter,Acclaim Entertainment,0.9,0.23,0.0,0.02,1.14,66.0
1385,The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,84.34
1386,LEGO Batman: The Videogame,PSP,2008,Adventure,Warner Bros. Interactive Entertainment,0.55,0.36,0.0,0.23,1.14,80.0
1387,High School Musical 2: Work This Out!,DS,2008,Misc,Disney Interactive Studios,0.49,0.52,0.0,0.13,1.14,33.0
1388,LEGO Star Wars: The Video Game,GBA,2005,Action,Eidos Interactive,0.82,0.3,0.0,0.02,1.14,82.0
1389,Grand Theft Auto: The Trilogy,PS2,2005,Adventure,Take-Two Interactive,0.0,0.94,0.0,0.2,1.14,91.0
1390,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,0.92,0.12,0.0,0.09,1.14,73.0
1391,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,50.0
1392,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.65,0.37,0.0,0.11,1.14,80.0
1393,Need for Speed Underground 2,GC,2004,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14,85.0
1394,Sonic Colors,DS,2010,Platform,Sega,0.57,0.44,0.01,0.12,1.14,83.0
1395,MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0.0,0.03,1.13,86.82
1396,LEGO Harry Potter: Years 1-4,X360,2010,Adventure,Warner Bros. Interactive Entertainment,0.69,0.33,0.0,0.11,1.13,82.0
1397,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0.0,0.02,1.13,84.66
1398,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,77.0
1399,Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,0.95,0.07,0.02,0.09,1.13,87.0
1400,Jampack Winter '98,PS,1998,Misc,Sony Computer Entertainment,0.63,0.43,0.0,0.07,1.13,55.0
1401,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,0.81,0.3,0.0,0.02,1.13,80.0
1402,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.36,0.23,0.38,0.16,1.13,86.95
1403,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.39,0.42,0.15,0.17,1.13,77.0
1404,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0.0,0.14,1.12,58.0
1405,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,83.0
1406,Mega Man 3,NES,1990,Platform,Capcom,0.55,0.16,0.39,0.02,1.12,87.0
1407,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.26,0.59,0.07,0.2,1.12,69.0
1408,Call Of Duty 2: Big Red One,XB,2005,Shooter,Activision,0.66,0.4,0.0,0.05,1.12,79.31
1409,Army of Two,PS3,2008,Shooter,Electronic Arts,0.71,0.24,0.02,0.14,1.12,74.17
1410,Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.68,0.0,0.16,1.12,81.0
1411,WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.47,0.45,0.01,0.19,1.12,83.0
1412,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.39,0.47,0.07,0.19,1.12,89.89
1413,Namco Museum DS,DS,2007,Misc,Atari,0.97,0.0,0.06,0.08,1.12,72.0
1414,Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0.0,0.04,1.12,83.54
1415,WWE '12,X360,2011,Fighting,THQ,0.62,0.38,0.0,0.11,1.12,77.0
1416,Counter-Strike,XB,2003,Shooter,Microsoft Game Studios,0.85,0.23,0.0,0.04,1.11,73.16
1417,Transformers: The Game,PS2,2007,Action,Activision,0.63,0.37,0.0,0.11,1.11,57.44
1418,Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0.0,1.11,0.0,0.0,1.11,82.2
1419,Sonic Rush Adventure,DS,2007,Platform,Sega,0.51,0.47,0.01,0.12,1.11,84.0
1420,Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0.0,0.15,1.11,75.0
1421,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.22,0.64,0.03,0.23,1.11,76.0
1422,Sonic the Hedgehog,PS3,2006,Platform,Sega,0.38,0.5,0.04,0.2,1.11,57.0
1423,LEGO Indiana Jones: The Original Adventures,PSP,2008,Adventure,LucasArts,0.37,0.46,0.0,0.28,1.11,79.0
1424,Rock Band,PS2,2008,Misc,Electronic Arts,0.71,0.3,0.0,0.11,1.11,82.0
1425,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Adventure,Ubisoft,0.68,0.38,0.0,0.05,1.11,93.92
1426,Arc the Lad,PS,1995,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01,1.11,75.0
1427,NBA Jam Tournament Edition,GEN,1994,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03,1.11,85.0
1428,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,75.0
1429,Legend of Mana,PS,1999,Role-Playing,Square,0.18,0.13,0.73,0.07,1.11,72.45999999999998
1430,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.56,0.2899999999999999,0.15,0.1,1.11,77.8
1431,Crysis 2,PS3,2011,Shooter,Electronic Arts,0.37,0.48,0.06,0.19,1.11,85.21
1432,FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.65,0.01,0.3,1.1,80.0
1433,Triple Play 98,PS,1997,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1,83.0
1434,F-Zero X,N64,1998,Racing,Nintendo,0.45,0.33,0.2899999999999999,0.03,1.1,83.0
1435,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1,85.0
1436,Lode Runner,NES,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,77.7
1437,The Final Fantasy Legend,GB,1989,Role-Playing,Square,0.0,0.0,1.1,0.0,1.1,74.0
1438,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,68.0
1439,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0.0,0.0,1.1,0.0,1.1,52.0
1440,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.11,0.41,0.43,0.15,1.1,77.0
1441,Lumines: Puzzle Fusion,PSP,2004,Puzzle,Ubisoft,0.52,0.35,0.0,0.23,1.1,87.0
1442,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.42,0.22,0.3,0.15,1.1,88.26
1443,Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.47,0.37,0.02,0.24,1.1,79.0
1444,NBA Live 2001,PS2,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1,74.73
1445,SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23,1.1,80.0
1446,SingStar Rocks!,PS2,2006,Misc,Sony Computer Entertainment,0.0,0.84,0.0,0.25,1.1,77.0
1447,Tales of Symphonia,GC,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,93.0
1448,Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.63,0.12,0.24,0.1,1.1,87.22
1449,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Adventure,Activision,0.59,0.39,0.0,0.11,1.1,69.0
1450,Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,89.0
1451,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.01,0.0,0.01,0.07,1.09,81.54
1452,BioShock,PS3,2008,Shooter,Take-Two Interactive,0.6,0.34,0.01,0.15,1.09,93.57
1453,Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.16,0.84,0.04,1.09,78.06999999999998
1454,Mirror's Edge,X360,2008,Action,Electronic Arts,0.48,0.48,0.01,0.12,1.09,79.53
1455,Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,Atari,0.78,0.2899999999999999,0.0,0.02,1.09,76.04
1456,R.B.I. Baseball 3,NES,1988,Sports,Namco Bandai Games,0.0,0.0,1.09,0.0,1.09,85.0
1457,NFL 2K1,DC,2000,Sports,Sega,1.02,0.05,0.0,0.02,1.09,94.5
1458,BeatMania,PS,1998,Simulation,Konami Digital Entertainment,0.0,0.0,1.07,0.02,1.09,70.55
1459,Madden NFL 2004,XB,2003,Sports,Electronic Arts,1.02,0.02,0.0,0.05,1.09,83.0
1460,The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,88.0
1461,Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,73.0
1462,F1 2011,PS3,2011,Racing,Codemasters,0.09,0.66,0.11,0.23,1.09,83.0
1463,Petz Dogz 2,DS,2007,Simulation,Ubisoft,0.46,0.51,0.0,0.12,1.09,44.0
1464,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.55,0.2899999999999999,0.09,0.15,1.09,85.0
1465,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.2899999999999999,0.01,0.76,0.03,1.09,85.0
1466,NFL Blitz 2000,PS,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09,86.0
1467,NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,86.0
1468,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,THQ,0.53,0.41,0.0,0.14,1.08,66.0
1469,Fisherman's Bass Club,PS2,2002,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,55.0
1470,Mirror's Edge,PS3,2008,Action,Electronic Arts,0.2899999999999999,0.56,0.02,0.21,1.08,78.67
1471,Doom 3,PC,2004,Shooter,Activision,1.06,0.02,0.0,0.0,1.08,86.69
1472,Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0.0,1.06,0.0,0.02,1.08,92.29
1473,Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,63.61
1474,NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.9,0.09,0.0,0.09,1.08,63.0
