,game_title,platform,year,genre,publisher,north_america,europe,japan,rest_of_world,global,review
1067,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.8,0.46,0.0,0.14,1.4,81.20999999999998
1068,Portal 2,PS3,2011,Shooter,Valve,0.72,0.45,0.02,0.21,1.4,91.0
1069,Madden NFL 2002,PS,2001,Sports,Electronic Arts,0.78,0.53,0.0,0.09,1.39,77.0
1070,Smarty Pants,Wii,2007,Misc,Electronic Arts,0.5,0.73,0.0,0.16,1.39,65.0
1071,Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.78,0.42,0.04,0.14,1.39,83.76
1072,NBA Jam,SNES,1994,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03,1.39,84.0
1073,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,70.47
1074,Call of Duty 3,PS3,2006,Shooter,Activision,0.54,0.5799999999999998,0.03,0.24,1.39,81.23
1075,Hitman: Absolution,X360,2012,Action,Square Enix,0.54,0.68,0.01,0.15,1.39,79.39
1076,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.95,0.3,0.0,0.13,1.39,66.0
1077,Kinectimals,X360,2010,Simulation,Microsoft Game Studios,0.86,0.38,0.0,0.13,1.38,67.0
1078,True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0.0,0.05,1.38,78.78
1079,Homefront,X360,2011,Shooter,THQ,0.77,0.45,0.02,0.14,1.38,71.7
1080,Paper Mario,N64,2000,Role-Playing,Nintendo,0.5799999999999998,0.18,0.59,0.02,1.38,92.0
1081,Duke Nukem: Time to Kill,PS,1998,Shooter,Take-Two Interactive,0.77,0.54,0.0,0.07,1.38,79.0
1082,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.38,58.0
1083,Dave Mirra Freestyle BMX 2,PS2,2001,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,80.06999999999998
1084,LEGO Indiana Jones: The Original Adventures,PS2,2008,Adventure,LucasArts,0.6,0.61,0.0,0.16,1.37,85.0
1085,A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0.0,0.09,1.37,52.33
1086,Ridge Racer,PSP,2004,Racing,Namco Bandai Games,0.36,0.43,0.32,0.27,1.37,49.0
1087,BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.75,0.41,0.02,0.19,1.37,87.05
1088,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0.0,0.05,1.37,91.0
1089,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37,73.0
1090,Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.69,0.49,0.0,0.18,1.37,81.0
1091,Sonic Classic Collection,DS,2010,Platform,Sega,0.65,0.57,0.0,0.15,1.37,82.0
1092,Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36,82.69
1093,Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,0.66,0.43,0.07,0.2,1.36,83.98
1094,SingStar Abba,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.92,0.0,0.21,1.36,71.0
1095,Dead to Rights,PS2,2002,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,73.53
1096,Sonic Rivals,PSP,2006,Racing,Sega,0.72,0.38,0.0,0.26,1.36,76.0
1097,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,0.82,0.41,0.0,0.13,1.36,77.0
1098,Dragon Quest Monsters: Joker 2,DS,2010,Role-Playing,Square Enix,0.07,0.04,1.24,0.01,1.36,79.95
1099,The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,0.52,0.63,0.0,0.2,1.36,81.5
1100,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.2,0.03,0.02,0.11,1.36,81.0
1101,LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.57,0.48,0.0,0.3,1.36,86.0
1102,Madden NFL 98,PS,1997,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35,88.0
1103,Sega Genesis Collection,PSP,2006,Misc,Sega,0.52,0.52,0.0,0.32,1.35,81.13
1104,Samurai Warriors,PS2,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,73.36
1105,The Simpsons: Hit & Run,XB,2003,Racing,Vivendi Games,0.7,0.5799999999999998,0.0,0.07,1.35,80.23999999999998
1106,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.67,0.36,0.14,0.18,1.35,85.0
1107,SaGa Frontier,PS,1997,Role-Playing,Sony Computer Entertainment,0.15,0.04,1.07,0.09,1.35,76.0
1108,SingStar Party,PS2,2004,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,1.35,78.0
1109,Inazuma Eleven 2: Blizzard / Firestorm,DS,2009,Role-Playing,Level 5,0.0,0.14,1.18,0.02,1.35,64.0
1110,Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,71.0
1111,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,0.97,0.25,0.0,0.12,1.34,83.0
1112,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.31,0.4,0.54,0.09,1.34,79.67
1113,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,0.91,0.31,0.0,0.12,1.34,87.39
1114,Mortal Kombat 3,GEN,1994,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34,84.0
1115,Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,87.63
1116,Dead Space 2,X360,2011,Shooter,Electronic Arts,0.83,0.38,0.0,0.13,1.34,89.1
1117,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,82.0
1118,Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,83.0
1119,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.75,0.0,0.38,1.34,79.0
1120,Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,88.49
1121,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,88.89
1122,FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.88,0.01,0.14,1.34,82.0
1123,Spider-Man: The Movie,GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33,70.0
1124,WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,84.93
1125,Tony Hawk's Pro Skater,GB,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33,56.0
1126,The Sims: Bustin' Out,GBA,2003,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33,77.34999999999998
1127,Triple Play 2001,PS,2000,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33,81.2
1128,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92.05
1129,Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,54.0
1130,UFC Undisputed 2010,PS3,2010,Fighting,THQ,0.75,0.37,0.02,0.18,1.33,82.0
1131,Command & Conquer: Red Alert 2,PC,2000,Strategy,Electronic Arts,1.32,0.0,0.0,0.0,1.32,86.29
1132,Dead Rising 2,X360,2010,Action,Capcom,0.64,0.47,0.09,0.13,1.32,80.06999999999998
1133,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,66.0
1134,NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0.0,0.18,1.32,88.05
1135,Fighting Force,PS,1997,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32,71.0
1136,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,2003,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32,69.5
1137,Madden NFL 97,PS,1996,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32,74.0
1138,TNN Motor Sports Hardcore 4x4,PS,1996,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31,61.6
1139,Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.72,0.47,0.0,0.13,1.31,42.0
1140,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.23,0.67,0.16,0.25,1.31,76.0
1141,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31,49.0
1142,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.22,0.72,0.02,0.36,1.31,83.0
1143,Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0.0,0.07,1.31,66.64
1144,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0.0,0.07,1.31,69.0
1145,Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.55,0.0,0.32,1.31,71.0
1146,Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,64.48
